Габарит / Производитель;Габарит;Заходность;Наработка до отказа (Часы);Песок (%);Хлориды (мг/л);Забойная Темп. (°C);Пиковый перепад (атм);Регион работ;Код отказа (Целевая метка)
ООО ГБС (ДШОТР-178.7/8.50.5 №2607);178;7/8;13.92;0.35;169000;80;60;Волго-Урал;Разрушения по массиву
Радиус-Сервис (ДРУ4-172РС №6971);172;6/7;16.67;0.1;12000;60;50;Волго-Урал;Разрушение резиновой обкладки статора в верхней части. Низкая совместимость эластомера с БР
Радиус-Сервис (ДРУ-172РС №2329);172;5/6;43.92;0.1;12000;60;50;Волго-Урал;Растрескивание резиновой обкладки, вырыв в верхней части
Радиус-Сервис (ДРУ2-120РСФК.855-01 №7499);120;5/6;178.5;0.0;180000;60;50;Волго-Урал;После применения кислотной ванны. Износ профиля, растрескивание резиновой обкладки
ООО ГБС (ДШОТР-120.7/8.45М.3 № 2441);120;7/8;20.15;0.0;123000;60;50;Волго-Урал;Разрушение резиновой обкладки из-за отклонений по качеству материала поставщика смеси
ООО ГБС (ДШОТР-120.7/8.45М.3 № 2350);120;7/8;161.0;0.1;12000;60;50;Волго-Урал;Нарушения технологического процесса этапа вулканизации — превышение времени в ванне
Радиус-Сервис (ДРУ2-120РС №7774);120;5/6;78.44;0.2;48000;65;45;ХМАО;Разрушение вершин резиновой обкладки статора по всей длине. Скрытые дефекты
ООО ГБС (ДШОТР-120.7/8.45М.3 №2501);120;7/8;165.08;0.1;12000;60;50;Волго-Урал;Разрушение (отслоение) резиновой обкладки из-за некачественной адгезии с остовом
ООО ГБС (ДШОТР-120.7/8.45М3 №1478);120;7/8;6.5;0.0;36000;100;65;Волго-Урал;Произошло по причине некачественной адгезии (приклейка) резиновой обкладки с остовом
ООО ГБС (ДШОТР-120.7/8.45М3 №2412);120;7/8;54.0;0.0;36000;100;70;Волго-Урал;Некачественная адгезия (приклейка) резиновой обкладки с остовом статора
Радиус-Сервис (ДРУ3-172РСФТМК №4927);172;7/8;23.78;0.3;12000;80;30;Волго-Урал;На расстоянии 1600мм от нижнего упорного торца, разрушение эластомера
Радиус-Сервис (ДРУ-172РС №7610);172;6/7;61.73;0.3;12000;80;50;Волго-Урал;Износ и разрушение резиновой обкладки статора, а также хромового покрытия ротора
Радиус-Сервис (ДРУ1-120РСФ №5076);120;5/6;64.56;0.1;12000;65;40;Волго-Урал;Отслоение, размыв и разрушение эластомера до остова
Радиус-Сервис (ДРУ-172РС №6679);170;5/6;22.58;0.3;12000;65;40;Волго-Урал;Растрескивание эластомера. Низкая совместимость резины СЗ с РВО Поспеловского месторождения
Гидромаш (ВЗД - ДУ-172М № 6367);172;7/8;45.0;0.25;12000;70;45;ХМАО;Повреждение эластомера (вырыв) на расстоянии 2500-3000мм от упорного торца
Радиус-Сервис (ДРУ-172РС №881);172;6/7;9.2;0.1;12000;60;50;Волго-Урал;Растрескивание и разрушение вследствие низкой совместимости с БР
Радиус-Сервис (ДРУ-240 №4495);240;7/8;58.06;1.0;600;70;45;ХМАО;Разрушение эластомера
ГБС (ДШОТ-120.7/8.44.7 № 5101);120;7/8;10.0;0.1;12000;65;45;ХМАО;Разрушение вершины зуба по всей длине
ГБС (ДШОТР-120.7/8.44.3 №1765);120;7/8;102.0;0.1;42000;65;80;Волго-Урал;Отслоение с последующим разрушением в 1 и 2 сечении. Прохождение окалины через СРО
Радиус-Сервис (ДРУ-120РС №3653);120;5/6;121.32;0.15;2200;60;45;Волго-Урал;Износ профиля резиновой обкладки на 1мм по всей длине из-за воздействия БР
Радиус-Сервис (ДРУ2-120РС №7734);120;5/6;80.0;0.15;80000;60;45;Волго-Урал;Износ профиля резиновой обкладки на 1мм по всей длине из-за воздействия БР
ГБС (ДШОТР-120.7/8.44.3 № 4689);120;7/8;11.05;0.1;12000;60;45;Волго-Урал;Разрушения по массиву обкладки статора произошло по причине отклонения при вулканизации
Радиус-Сервис (ДРУ1-120РСФМК.863-09 №4922);120;6/7;91.12;0.1;62000;60;45;Волго-Урал;Растрескивание эластомера, вырывы. Низкая совместимость резины с БР
Радиус-Сервис (ДРУ1-172РСФК.820-19 №2690);172;5/6;47.32;0.2;7000;60;45;Волго-Урал;Профиль резиновой обкладки имеет равномерный механический износ 0,3 мм
Радиус-Сервис (ДРУ2-98РСФ.815-03 № 197);98;5/6;117.1;0.1;95000;60;45;ЯНАО;Многочисленные повреждения поверхности резиновой обкладки статора от дефектов ротора
НГТ (ДР-106.NGT.7/8.38.12.М3 №1901);106;7/8;73.92;0.2;12000;65;45;ХМАО;Вырыв резиновой обкладки статора из-за песчаной эмульсии, которая забила ВЗД
Радиус-Сервис (ДРУ1-172РСФК.900-00 №7618);172;7/8;13.66;0.2;12000;65;45;Волго-Урал;Разрушение резиновой обкладки статора в верхней части
ПЗТО Титан (МВР-176ТУ.800-06 №М497);176;7/8;15.49;0.2;12000;65;45;ХМАО;Многочисленные промывы и порезы эластомера. Была прокачка ВУС
